Realization1,Realization2,Realization3,Realization4,Realization5,Realization6,Realization7,Realization8,Realization9,Realization10
4388.1,4595.3,3006.1,4591.8,3576.1,3914.9,4759.4,5570.6,4240.1,4894.6
4290.8,4459.1,2979.2,4591.8,3515.2,3853.2,4589.3,5570.6,4240.1,4860.4
4162.6,4459.1,2923.7,4489.7,3453.4,3791.5,4419.3,5570.6,4175.3,4791.9
4227.2,4425,2868.1,4421.6,3391.5,3760.7,4419.3,5532.5,4111.6,4654.9
4227.2,4410,2841.3,4259.5,3330.7,3728.8,4321.2,5458.5,4046.8,4620.6
4162.6,4262.7,2813.5,4194.4,3330.7,3667.2,4192.1,5314.8,3983,4552.1
4130.8,4262.7,2758.9,4098.3,3300.8,3616.1,4160.1,5206.9,3919.2,4552.1
4067.2,4262.7,2731.1,4098.3,3238.9,3545.7,4128.1,5064.2,3919.2,4449.4
4162.6,4262.7,2704.3,4033.2,3180.1,3485.9,3999,4920.5,3854.5,4286.2
4067.2,4262.7,2650.6,4033.2,3031.4,3426.1,3903,4776.7,3790.7,4188.5
3842.7,4262.7,2596.9,3937.1,2972.6,3367.3,3870,4565.3,3737.9,4124
3747.3,4262.7,2570,3937.1,2913.7,3307.6,3773.9,4565.3,3665.1,4090.8
3684.7,4262.7,2543.2,3840,2972.6,3218.9,3710.9,4497.7,3603.3,4058.5
3592.4,4262.7,2516.3,3840,3001.5,3190,3648.9,4429,3603.3,4026.3
3530.8,4197.6,2490.4,3840,2913.7,3130.2,3648.9,4361.3,3603.3,3961.8
3530.8,3940.1,2436.7,3754.9,2855.9,3073.3,3648.9,4292.6,3572.5,3961.8
3842.7,3908.1,2410.8,3650.8,2798,3044.4,3617.8,4191.1,3541.6,3896.4
3684.7,3875,2410.8,3619.8,2798,3015.5,3617.8,4157.3,3480.8,3896.4
3592.4,3778.8,2385.8,3588.8,2769.1,2958.6,3463.8,4123.5,3419,3831.9
3530.8,3684.7,2358,3527.7,2740.2,2900.8,3463.8,4054.8,3357.2,3778.5
3439.4,3684.7,2333,3434.6,2740.2,2872.8,3463.8,3987.1,3357.2,3642.5
3347,3653.6,2255.2,3403.6,2683.3,2843.9,3370.7,3920.5,3357.2,3611.3
3287.4,3622.6,2307.1,3403.6,2597.5,2788,3310.7,3855,3357.2,3580.1
3287.4,3591.5,2281.2,3312.5,2570.6,2732,3310.7,3822.2,3357.2,3580.1
3287.4,3591.5,2255.2,3312.5,2513.7,2732,3248.7,3789.5,3357.2,3580.1
3287.4,3622.6,2203.4,3281.4,2513.7,2676.1,3219.6,3725,3327.3,3549.8
3287.4,3622.6,2177.5,3281.4,2457.9,2676.1,3189.6,3659.4,3297.4,3456.2
3225.8,3591.5,2151.6,3221.4,2402,2620.2,3129.6,3659.4,3297.4,3393.7
3167.2,3530.4,2151.6,3221.4,2346.1,2593.2,3099.6,3593.9,3266.5,3333.3
3137.3,3406.2,2100.6,3161.3,2318.2,2566.2,3010.5,3561.1,3235.6,3333.3
3048.9,3315,2100.6,3131.3,2293.3,2566.2,2951.5,3529.4,3206.7,3333.3
2759.6,2978.6,2485.9,3412.9,2424.9,2518.1,2989.8,3681.6,2632.1,3037.8
2730.4,2978.6,2401.3,3341.7,2480.6,2518.1,2989.8,3713.1,2602.1,3037.8
2730.4,2948.6,2401.3,3341.7,2480.6,2490.1,2955.4,3650,2582.1,3007.8
2730.4,2919.6,2341.7,3235.4,2452.7,2490.1,2955.4,3681.6,2552,3007.8
2674.2,2861.6,2313.5,3094.9,2424.9,2490.1,2921.2,3587.9,2532,2978.8
2644.1,2832.6,2228.9,3060,2397,2462.1,2887,3681.6,2502,2948.8
2615.9,2832.6,2199.7,3025.2,2341.2,2434.2,2887,3744.7,2482,2890.8
2615.9,2774.7,2143.3,3025.2,2313.4,2434.2,2852.9,3819,2462,2803.9
2588.8,2745.7,2115.1,3025.2,2369.1,2434.2,2785,3819,2431.9,2745.9
2531.5,2716.7,2059.7,3094.9,2231.8,2434.2,2785,3776.3,2462,2745.9
2503.4,2660.7,2059.7,2955.8,2204.9,2406.2,2751.2,3819,2462,2716.9
2475.3,2660.7,2059.7,2921.2,2177,2378.2,2717.5,3819,2482,2688.9
2475.3,2660.7,2059.7,2818,2150.1,2322.2,2683.9,3776.3,2502,2576
2475.3,2630.7,2032.6,2818,2150.1,2267.3,2616.9,3713.1,2532,2630.9
2447.2,2630.7,2032.6,2852.3,2204.9,2267.3,2683.9,3524.8,2552,2630.9
2447.2,2660.7,1949,2886.7,2231.8,2240.3,2650.3,3461.7,2602.1,2630.9
2447.2,2575.8,1894.7,2921.2,2231.8,2213.3,2583.5,3399.6,2652.1,2603
2419,2518.8,1840.4,2852.3,2204.9,2158.4,2583.5,3337.5,2632.1,2603
2390.9,2490.8,1921.8,2852.3,2177,2158.4,2583.5,3276.4,2582.1,2603
2390.9,2434.8,1788.1,2990.4,2150.1,2132.4,2616.9,3215.3,2532,2603
2362.8,2490.8,1737,2886.7,2124.2,2132.4,2650.3,3094.1,2502,2603
2334.6,2462.8,1737,2614.1,2096.4,2132.4,2616.9,3003.5,2462,2603
2279.4,2462.8,1762,2580.5,2096.4,2158.4,2517.1,2944.5,2411.9,2576
2279.4,2434.8,1815.3,2513.4,2069.5,2158.4,2418.2,2885.4,2281.8,2576
2252.3,2434.8,1815.3,2546.9,2042.6,2104.4,2385.4,2855.9,2241.8,2576
2225.1,2518.8,1815.3,2513.4,2042.6,2104.4,2320.1,2826.3,2201.8,2576
2225.1,2518.8,1737,2580.5,2015.7,2104.4,2222.9,2826.3,2171.7,2576
2225.1,2518.8,1737,2681.7,1989.9,2104.4,2190.7,2826.3,2131.7,2576
1743.8,2427.3,1742.2,2695.2,2268.9,2645.5,2024.3,2883.7,2188.6,2488.3
1743.8,2399.1,1687.5,2695.2,2159.9,2587.9,2088.4,2826.6,2168.6,2405.4
1720,2399.1,1628.9,2714.7,2078.9,2531.2,2152.8,2826.6,2158.6,2322.4
1720,2370.9,1633.9,2656.1,2024.9,2476.6,2185.2,2742.4,2138.6,2240.5
1694.3,2399.1,1634.9,2636.6,2051.9,2448.8,2217.7,2770.5,2118.6,2107.2
1669.5,2399.1,1640.8,2636.6,2078.9,2393.1,2250.3,2826.6,2088.7,2079.5
1645.8,2370.9,1592.1,2675.7,2024.9,2365.3,2315.7,2826.6,2078.7,2079.5
1645.8,2342.6,1525.5,2675.7,1971.9,2365.3,2282.9,2883.7,2068.7,2052.9
